name
Vampire
Samurai
Super Power
Ecchi
Cars
Yaoi
Adventure
Horror
Fantasy
Magic
Mecha
Martial Arts
Kids
Josei
Game
Drama
Historical
Shoujo Ai
Space
School
Comedy
Hentai
Sci-Fi
Seinen
Demons
Romance
Shounen Ai
Sports
Action
Psychological
Parody
Police
Music
Shounen
Yuri
Shoujo
Mystery
Dementia
Slice of Life
Harem
Military
Thriller
Supernatural
